country,year,product_group,grouping_level,export_usd_thousand,import_usd_thousand,trade_balance_usd_thousand,export_product_share_pct,import_product_share_pct,ahs_simple_average_pct,ahs_weighted_average_pct,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_pct,ahs_duty_free_tariff_lines_share_pct,ahs_specific_tariff_lines_share_pct,ahs_ave_tariff_lines_share_pct,ahs_maxrate_pct,ahs_minrate_pct,ahs_specificduty_imports_usd_thousand,ahs_dutiable_imports_usd_thousand,ahs_duty_free_imports_usd_thousand,mfn_simple_average_pct,mfn_weighted_average_pct,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_pct,mfn_duty_free_tariff_lines_share_pct,mfn_specific_tariff_lines_share_pct,mfn_ave_tariff_lines_share_pct,mfn_maxrate_pct,mfn_minrate_pct,mfn_specificduty_imports_usd_thousand,mfn_dutiable_imports_usd_thousand,mfn_duty_free_imports_usd_thousand
Madagascar,2023,Capital goods,Broad Economic Category,42983.74,232.96,42750.78,5.13,0.16,4.46,2.31,50.0,62.0,36.0,2.0,0.0,35.0,0.0,0.34,90.29,106.68,4.46,2.31,50.0,62.0,36.0,2.0,0.0,35.0,0.0,0.34,90.29,106.68
Madagascar,2023,Consumer goods,Broad Economic Category,616827.16,46686.39,570140.77,73.59,32.89,8.89,5.48,1567.0,95.66,3.83,0.51,0.0,40.0,0.0,33.8,17866.58,180.92,9.14,5.51,1567.0,98.6,1.21,0.19,0.0,40.0,0.0,33.74,18001.59,45.92
Madagascar,2023,Intermediate goods,Broad Economic Category,131973.44,91367.14,40606.3,15.75,64.36,5.78,0.83,138.0,89.86,10.14,0.0,0.0,40.0,0.0,0.0,15942.82,71579.69,5.78,0.83,138.0,89.86,10.14,0.0,0.0,40.0,0.0,0.0,15942.82,71579.69
Madagascar,2023,Raw materials,Broad Economic Category,41154.06,3570.71,37583.35,4.91,2.52,5.93,2.06,136.0,63.24,31.62,5.15,0.0,40.0,0.0,2.64,3074.95,2653.03,6.02,2.07,136.0,69.12,25.74,5.15,0.0,40.0,0.0,2.64,3075.87,2652.11
Madagascar,2023,Animal,Sector,1124.27,301.93,822.3399999999999,0.13,0.21,11.67,1.05,11.0,72.73,27.27,0.0,0.0,40.0,0.0,0.0,32.91,255.67,12.5,1.13,11.0,81.82,18.18,0.0,0.0,40.0,0.0,0.0,32.91,255.67
Madagascar,2023,Chemicals,Sector,34547.68,2336.48,32211.2,4.12,1.65,7.33,0.29,71.0,98.59,1.41,0.0,0.0,40.0,0.0,0.0,69.41,2194.58,7.33,0.29,71.0,98.59,1.41,0.0,0.0,40.0,0.0,0.0,69.41,2194.58
Madagascar,2023,Food Products,Sector,12545.03,1491.54,11053.490000000002,1.5,1.05,9.27,5.38,273.0,96.7,2.2,1.1,0.0,40.0,0.0,33.74,647.9,0.97,9.33,5.39,273.0,97.07,1.83,1.1,0.0,40.0,0.0,33.74,648.81,0.06
Madagascar,2023,Footwear,Sector,26.4,243.21,-216.81,0.0,0.17,8.23,6.72,75.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,233.25,0.0,8.23,6.72,75.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,233.25,0.0
Madagascar,2023,Fuels,Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,2023,Hides and Skins,Sector,77.98,626.97,-548.99,0.01,0.44,8.41,5.91,97.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,581.82,0.0,8.41,5.91,97.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,581.82,0.0
